ID	post_title	post_name	year	month	day
3672	HTC Desire 620G – Software Service	htc-desire-620g-software-service	2022	3	8
3668	Code – Bending Movement on Mild Steel	code-bending-movement-on-mild-steel	2022	3	8
3664	Redmi Y1 – Software Service	redmi-y1-software-service	2022	3	8
3659	Asus Zenfone Max Pro M1– Battery Replacement	asus-zenfone-max-pro-m1-battery-replacement	2022	3	8
3654	Code – Conversion of the decimal into the fraction	code-conversion-of-the-decimal-into-the-fraction	2022	3	7
3649	MacBook Air – Dead Condition	macbook-air-dead-condition	2022	3	6
3645	Samsung Galaxy M01 – Logo Stuck	samsung-galaxy-m01-logo-stuck	2022	3	6
3642	Code – Rectangular Notch	code-rectangular-notch	2022	3	6
3637	HTC Desire 816 – Dead Condition	htc-desire-816-dead-condition	2022	3	6
3634	Code – Rule of differentiate	code-rule-of-differentiate	2022	3	5
3630	Dell Inspiron – Software Service	dell-inspiron-software-service	2022	3	4
3627	Code – To Find Prime Factors	code-to-find-prime-factors	2022	3	4
3623	Redmi Note 7 – Battery Replacement	redmi-note-7-battery-replacement	2022	3	2
3619	Gadget – Head Phone	gadget-head-phone	2022	3	1
3613	Vivo Y20G – Display Combo Replacement	vivo-y20g-display-combo-replacement	2022	2	28
3609	iPhone 6s Plus – Display Glass Replacement	iphone-6s-plus-display-glass-replacement	2022	2	27
3597	Code – Sum to Product	code-sum-to-product	2022	2	26
3576	Code – Single shear stress on mild steel	code-single-shear-stress-on-mild-steel	2022	2	25
3571	Realme C15 – Display Combo Replacement	realme-c15-display-combo-replacement	2022	2	25
3519	MacBook Retina – Software Service	macbook-retina-software-service	2022	2	23
3514	Code – Find LCM of any two numbers	code-find-lcm-of-any-two-numbers	2022	2	23
3509	iWatch 67999 – Display Combo Replacement	iwatch-67999-display-combo-replacement	2022	2	22
3504	Code – Coefficient Discharge in Venturi Meter	code-coefficient-discharge-in-venturi-meter	2022	2	22
3494	Code – Product to sum using transformation formula	code-product-to-sum-using-transformation-formula	2022	2	21
3488	Code - LCM	code-lcm	2022	2	21
3483	iPhone 6 – Dead Condition	iphone-6-dead-condition	2022	2	21
3478	Moto G5s Plus – Touch Glass Replacement	moto-g5s-plus-touch-glass-replacement	2022	2	20
3474	iPhone 7 – Display Combo Replacement	iphone-7-display-combo-replacement	2022	2	20
3471	Code – Product of two trigonometric functions	code-product-of-two-trigonometric-functions	2022	2	19
3462	Code – HCF long division method	code-hcf-long-division-method	2022	2	19
3456	Code – Greatest possible length	code-greatest-possible-length	2022	2	18
3448	Code – To find HCF	code-to-find-hcf	2022	2	18
3436	Code – Digital Clock	code-digital-clock	2022	2	16
3432	Realme 9 Power – Display Combo Replacement	realme-9-power-display-combo-replacement	2022	2	16
3427	Redmi Note 7 – Charging port Replacement	redmi-note-7-charging-port-replacement	2022	2	15
3418	Code – Transform a product of two trigonometric functions into the sum	code-transform-a-product-of-two-trigonometric-functions-into-the-sum	2022	2	15
3403	Code – Addition of compound angles	code-addition-of-compound-angles	2022	2	14
