ID	post_title	post_content	post_type	post_date	post_name	categories
104	Modern Ganesha	<!-- wp:image {"id":52,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Mosaic-Modern-Ganesha-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mosaic-Modern-Ganesha-1.jpg" alt="" class="wp-image-52"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">12" Diameter</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Lord Ganesh - always and often a sudden source of inspiration</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:38:39	mosaic-modern-ganesha	Glass tiles on a Wooden Plate (Mosaic)
106	Terrace Views Bangalore	<!-- wp:image {"id":62,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Terrace-View-Banglore-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Terrace-View-Banglore-1.jpg" alt="" class="wp-image-62"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(25 cm X 21.5 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Two Allamanda flowers trying to steal into my terrace over the railing - caught in the act!</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:40:30	terrace-views-bangalore	Acrylic on Canvas with Texture
108	Lotus Series 1	<!-- wp:image {"id":49,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Lotus-series-1-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lotus-series-1-1.jpg" alt="" class="wp-image-49"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(30 cm X 30 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">How can anyone not be awed by a lotus erupting from the stillness of the pond's surface?</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:43:15	lotus-series-1	Oil on Canvas
110	Ganesha with Polka Dots	<!-- wp:image {"id":42,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-Modern-Polka-dots-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-Modern-Polka-dots-1.jpg" alt="" class="wp-image-42"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center"> (40.5 cm X 51 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Geometry and divinity - both can calm and inspire. The beauty of polka dots encased within the beauty of Ganesha.</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:45:12	ganesha-modern-polka-dots	Acrylic on Canvas with Texture
116	Scenes from Shangai	<!-- wp:image {"id":59,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Shanghai-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Shanghai-1.jpg" alt="" class="wp-image-59"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(30 cm X 30 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Four years in Shanghai were simply amazing. I will never get over the contrast of watching the most modern of skyscrapers tower over small 2 story buildings with clothes being dried using the simplest of technology - a clothes line.</p>\n<!-- /wp:paragraph -->	post	2021-02-13 18:00:00	scenes-from-shangai	Oil on Canvas
118	Vegetables in Negative Space	<!-- wp:image {"id":39,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Floating-Vegetables-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Floating-Vegetables-1.jpg" alt="" class="wp-image-39"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(122 cm X 61 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">I wanted to explore what would happen if I took most of the color from my vegetables and put it aside…</p>\n<!-- /wp:paragraph -->	post	2021-02-13 18:02:41	floating-vegetables	Acrylic on Canvas
134	Impressions of Lotuses	<!-- wp:image {"id":48,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Lotus-Impressionism-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lotus-Impressionism-1.jpg" alt="" class="wp-image-48"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(30 cm X 40 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Two different colored lotuses break up the green and blue</p>\n<!-- /wp:paragraph -->	post	2021-02-14 14:44:41	lotus-impressionism	Acrylic on Canvas
136	Prisoner of Mondrian	<!-- wp:image {"id":51,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Style-with-face-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Style-with-face-1.jpg" alt="" class="wp-image-51"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(50 cm X 70 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">This was done during a time when I felt like I was a willing and eager captive to the joys and charms of Mondrian's works.</p>\n<!-- /wp:paragraph -->	post	2021-02-14 14:45:50	mondrian-style-with-face	Acrylic on Canvas
143	Fall Ganesha	<!-- wp:image {"id":38,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Fall-Ganesha-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Fall-Ganesha-1.jpg" alt="" class="wp-image-38"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(51 cm x 41 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Nature and divinity - watching the beautiful red autumn leaves falling to ground made me feel they could serve as the perfect adornment to the gorgeous form of Ganesh</p>\n<!-- /wp:paragraph -->	post	2021-02-21 14:45:42	fall-ganesha	Acrylic on Canvas
146	Ganesha with Linear Relief	<!-- wp:image {"id":43,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-with-lines-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-with-lines-1.jpg" alt="" class="wp-image-43"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(91 cm x 61 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Geometry and divinity - both can calm and inspire. The angularity of rectangles frame the beauty of ganesha.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 14:47:45	ganesha-with-lines	Acrylic and Oil on Canvas
151	OM with Bandhani	<!-- wp:image {"id":53,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/OM-with-Bandhani-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/OM-with-Bandhani-1.jpg" alt="" class="wp-image-53"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(51 cm X 41 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">The textured figure of OM - the original vibration - emerging from the purple void</p>\n<!-- /wp:paragraph -->	post	2021-02-21 15:15:05	om-with-bandhani	Acrylic and Fabric on Canvas
153	Ganesh in Blocks	<!-- wp:image {"id":41,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-in-Blocks-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-in-Blocks-1.jpg" alt="" class="wp-image-41"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(20 cm X 25.5 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Geometry and divinity - both can calm and inspire. The angularity of rectangles encompassed within the beauty of Ganesha.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 15:24:04	ganesh-in-blocks	Acrylic on Canvas with Texture
155	The Explorer	<!-- wp:image {"id":63,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/The-explorer-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/The-explorer-1.jpg" alt="" class="wp-image-63"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(50.5 cm X 40.5 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">My husband is a scientist and this work was inspired by all the explorers studying the mysteries of the universe.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 15:25:40	the-explorer-contemporary-face-with-hair	Acrylic on Canvas
157	Pomergranate	<!-- wp:image {"id":165,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/pomergranate.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/pomergranate.jpg" alt="" class="wp-image-165"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(13 cm X 10 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 15:43:19	pomergranate	Acrylic on Canvas
167	Eggplant	<!-- wp:image {"id":70,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Eggplant.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Eggplant.jpg" alt="" class="wp-image-70"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(13 cm X 10 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 16:51:46	mangosteen	Acrylic on Canvas
169	Lemon	<!-- wp:image {"id":71,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Lemon.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lemon.jpg" alt="" class="wp-image-71"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(13 cm X 10 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 16:54:47	lemon	Acrylic on Canvas
173	Olive	<!-- wp:image {"id":163,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Olive.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Olive.jpg" alt="" class="wp-image-163"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(15 cm X 15 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:03:25	olive	Acrylic on Canvas
176	Apple with Dots	<!-- wp:image {"id":68,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Apple-with-dots.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Apple-with-dots.jpg" alt="" class="wp-image-68"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(15 cm X 15 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:08:11	apple-with-dots	Acrylic on Canvas
178	Pear	<!-- wp:image {"id":164,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Pear-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Pear-scaled.jpg" alt="" class="wp-image-164"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(15 cm X 15 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:09:47	pear-2	Acrylic on Canvas
180	Banana	<!-- wp:image {"id":69,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Banana.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Banana.jpg" alt="" class="wp-image-69"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(15 cm X 15 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:11:15	banana	Acrylic on Canvas
182	Dragon Fruit	<!-- wp:image {"id":208,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Dragon-Fruit-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Dragon-Fruit-scaled.jpg" alt="" class="wp-image-208"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(26 cm X 20 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">The flat two tone background just seemed the perfect foil to the highly textured surface of the passion fruit.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:16:16	dragon-fruit	Acrylic on Canvas
184	Scenes from Holland	<!-- wp:image {"id":27,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Holland-2-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Holland-2-scaled.jpg" alt="" class="wp-image-27"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(20 cm X 20 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">From our time in Holland. The whole country is filled with flowers and the canals provide sharp relief. After visiting the Van Gogh museum I could not wait to use his style of painting in this box. Here I wanted to show endless tulip gardens flowing out from the canvas box.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:19:07	scenes-from-holland	Acrylic and Oil on Canvas
186	Mondrian Mosaic	<!-- wp:image {"id":50,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Mosaic-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Mosaic-1.jpg" alt="" class="wp-image-50"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">46 cm Diameter  </p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">The name just says it all!</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:26:12	mondrian-mosaic	Glass tiles on a Wooden Plate (Mosaic)
188	With the Flow	<!-- wp:image {"id":67,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/With-the-flow-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/With-the-flow-1.jpg" alt="" class="wp-image-67"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(23 cm X 18 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Watching the colors swirl and mix in my jar of water as I dipped my paint brushes in it was my inspiration for this piece</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:31:48	with-the-flow	Acrylic on Canvas
190	Glimpses into a Kitchen	<!-- wp:image {"id":60,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Soup-bowl-and-vegetables-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Soup-bowl-and-vegetables-1.jpg" alt="" class="wp-image-60"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(70 cm X 54.5 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">These are my memories from our apartment in NJ. I wanted to capture everything from my kitchen and put it on the canvas. The sharpness of the colors made it all the more vivid for me.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:33:32	glimpses-into-a-kitchen	Acrylic on Canvas
192	Lemon and a Pot	<!-- wp:image {"id":45,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Lemon-and-Pot-Contemporary-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lemon-and-Pot-Contemporary-1.jpg" alt="" class="wp-image-45"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(50 cm X 40 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">My love for geometrical blocks found its hero in Mondrian. In our Dutch home this organic decorative pot and lemons seemed the perfect objects to insert into the painting - brought to life even further with the use of texture.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:36:52	lemon-and-a-pot	Acrylic on Canvas with Texture
194	Orange and Pear	<!-- wp:image {"id":55,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Pear-Pointlism-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Pear-Pointlism-1.jpg" alt="" class="wp-image-55"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(29.5 cm X 20 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">My very first experiments with water color using the pointillist techinque - while studying at the Bergen community college in NJ.</p>\n<!-- /wp:paragraph -->	post	2021-02-21 17:41:19	orange-and-pear	Water Color on Paper
201	Mangosteen	<!-- wp:image {"id":162,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Mangosteen-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mangosteen-scaled.jpg" alt="" class="wp-image-162"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(13 cm X 10 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Our house in Bangalore has a staircase behind the dining table and the empty blocks of the steps called out to be filled. They inspired me to fill them up with one small canvas on each step. Given the location - the subjects had to be food inspired!</p>\n<!-- /wp:paragraph -->	post	2021-02-27 17:59:29	mangosteen-2	Acrylic on Canvas
213	Lifebuoy	<!-- wp:image {"id":214,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Lifebuoy.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lifebuoy.jpg" alt="" class="wp-image-214"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(90 cm X 90 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">This is a commissioned piece - to commemorate and celebrate the achievements of the long history of the Lifebuoy brand and its mission to save lives through better Hygiene</p>\n<!-- /wp:paragraph -->	post	2021-02-27 19:07:19	lifebuoy	Acrylic and Oil on Canvas
276	Pear with Pink Background	<!-- wp:image {"id":278,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/03/pear-pink-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/03/pear-pink-1.jpg" alt="" class="wp-image-278"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(40 cm X 50 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p></p>\n<!-- /wp:paragraph -->	post	2021-03-07 18:30:19	pear-with-pink-background	Acrylic on Canvas
293	Tulip with Polka Dots - 1	<!-- wp:image {"id":66,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-1.jpg" alt="" class="wp-image-66"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(61 cm X 76 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">The contrast between the precision of geometric shapes and the organic shapes of nature has always inspired me.</p>\n<!-- /wp:paragraph -->	post	2021-03-07 18:45:06	tulip-with-polka-dots-1	Acrylic and Oil on Canvas
315	Vegetables & Fruits on a Staircase	<!-- wp:image {"id":279,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/03/staircase.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/03/staircase.jpg" alt="" class="wp-image-279"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">The inspiration for the pictures below...</p>\n<!-- /wp:paragraph -->	post	2021-03-07 19:12:13	small-vegetables-fruits-staircase	General
328	Contact Us	<!-- wp:paragraph -->\n<p>For commissions and inquires about any of the art featured here please email at the link below:</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p><a href="mailto:pghatlia@localhost">pghatlia@localhost</a></p>\n<!-- /wp:paragraph -->	page	2021-03-28 13:32:01	contact-us	NULL
